KOD_SUKL;NAZEV;ATC_WHO
0000009;ACYLCOFFIN;N02BA51
0000113;DILURAN;S01EC01
0000168;HYDROCHLOROTHIAZID LÉČIVA;C03AA03
0000269;PREDNISON LÉČIVA;H02AB07
0000280;PYRIDOXIN LÉČIVA;A11HA02
0000362;ADRENALIN LÉČIVA;C01CA24
0000409;CALCIUM CHLORATUM BIOTIKA;B05XA07
0000489;KANAVIT;B02BA01
0000502;MESOCAIN;N01BB
0000536;NORADRENALIN LÉČIVA;C01CA03
0000569;MOXOSTAD;C02AC05
0000584;PYRIDOXIN LÉČIVA;A11HA02
0000591;MOXOSTAD;C02AC05
0000610;SYNTOPHYLLIN;R03DA05
0000612;SYNTOSTIGMIN;N07AA01
0000616;THIAMIN LÉČIVA;A11DA01
0000641;VITAMIN B12 LÉČIVA;B03BA01
0000643;VITAMIN B12 LÉČIVA;B03BA01
0000707;FUCIDIN H;D07CA01
0000766;MOXOSTAD;C02AC05
0000858;HYDROCORTISON LÉČIVA;D07AA02
0000876;OPHTHALMO-SEPTONEX;S01AX
0000884;MOXOSTAD;C02AC05
0000911;MOXOSTAD;C02AC05
0000943;MOXOSTAD;C02AC05
0000961;THÉ SALVAT;V11
0000965;SPECIES PECTORALES PLANTA;V11
0000966;SPECIES UROLOGICAE PLANTA;V11
0000967;TORMENTAN;V11
0000982;CARBOSORB;A07BA01
0000984;MOXOSTAD;C02AC05
0000992;MOXOSTAD;C02AC05
0001017;MOXOSTAD;C02AC05
0001066;FRAMYKOIN;D06AX
0001069;FUNGICIDIN LÉČIVA;D01AA01
0001076;OPHTHALMO-FRAMYKOIN;S01AA30
0001077;OPHTHALMO-FRAMYKOIN COMP.;S01AA20
0001125;MORPHIN BIOTIKA 1%;N02AA01
0001127;MORPHIN BIOTIKA 1%;N02AA01
0001182;ZAVEDOS;L01DB06
0001202;MOXOSTAD;C02AC05
0001237;MOXOSTAD;C02AC05
0001244;DIAPREL MR;A10BB09
0001247;MOXOSTAD;C02AC05
0001252;OMEGAVEN;B05BA02
0001255;AROMASIN;L02BG06
0001258;AROMASIN;L02BG06
0001259;AROMASIN;L02BG06
0001287;OMEGAVEN;B05BA02
0001290;DIAPREL MR;A10BB09
0001328;DOPEGYT;C02AB01
0001410;LINOLA-FETT;D02AC
0001411;LINOLA-FETT;D02AC
0001412;LINOLA FETT ÖLBAD;D02AC
0001420;LAMISIL;D01BA02
0001421;LAMISIL;D01BA02
0001426;PIRAMIL;C09AA05
0001435;PIRAMIL;C09AA05
0001439;PIRAMIL;C09AA05
0001452;OMEGAVEN;B05BA02
0001453;PIRAMIL;C09AA05
0001470;PIRAMIL;C09AA05
0001474;PIRAMIL;C09AA05
0001480;PIRAMIL;C09AA05
0001491;PIRAMIL;C09AA05
0001495;PIRAMIL;C09AA05
0001501;PIRAMIL;C09AA05
0001512;PIRAMIL;C09AA05
0001517;PIRAMIL;C09AA05
0001529;PIRAMIL;C09AA05
0001537;PIRAMIL;C09AA05
0001540;PIRAMIL;C09AA05
0001543;PIRAMIL;C09AA05
0001545;PIRAMIL;C09AA05
0001556;NEO-ANGIN BEZ CUKRU;R02AA03
0001575;PIRAMIL;C09AA05
0001580;PIRAMIL;C09AA05
0001585;PIRAMIL;C09AA05
0001586;PIRAMIL;C09AA05
0001588;PIRAMIL;C09AA05
0001605;PIRAMIL;C09AA05
0001621;PIRAMIL;C09AA05
0001622;LUTEINUM;V12
0001623;LUTEINUM;V12
0001624;LUTEINUM;V12
0001630;PURINOL;M04AA01
0001631;PURINOL;M04AA01
0001632;PURINOL;M04AA01
0001633;PURINOL;M04AA01
0001656;DIPHERELINE S.R.;L02AE04
0001673;DEXAMED;H02AB02
0001674;JOX;R02AA15
0001677;PIRAMIL;C09AA05
0001699;FLONIDAN;R06AX13
0001710;MILURIT;M04AA01
0001711;MILURIT;M04AA01
0001732;XENETIX;V08AB11
0001733;XENETIX;V08AB11
0001734;XENETIX;V08AB11
0001735;XENETIX;V08AB11
0001736;XENETIX;V08AB11
0001737;XENETIX;V08AB11
0001738;XENETIX;V08AB11
0001739;XENETIX;V08AB11
0001740;XENETIX;V08AB11
0001741;XENETIX;V08AB11
0001742;XENETIX;V08AB11
0001743;XENETIX;V08AB11
0001744;XENETIX;V08AB11
0001745;XENETIX;V08AB11
0001770;LUTEINUM;V12
0001772;OMEGAVEN;B05BA02
0001813;PIRAMIL;C09AA05
0001823;PIRAMIL;C09AA05
0001829;PIRAMIL;C09AA05
0001849;PIRAMIL;C09AA05
0001855;PIRAMIL;C09AA05
0001881;PENBENE;J01CE02
0001888;PIRAMIL;C09AA05
0001906;PIRAMIL;C09AA05
0001907;PIRAMIL;C09AA05
0001908;PIRAMIL;C09AA05
0001914;PIRAMIL;C09AA05
0001918;DIABETAN;V11
0001923;PIRAMIL;C09AA05
0001927;MEDOSTATIN;C10AA02
0001928;PIRAMIL;C09AA05
0001929;MEDOSTATIN;C10AA02
0001932;MEDOSTATIN;C10AA02
0001933;FLUDARABINE TEVA;L01BB05
0001940;OXAZEPAM LÉČIVA;N05BA04
0001941;PIRAMIL;C09AA05
0001942;PIRAMIL;C09AA05
0001945;PIRAMIL;C09AA05
0001953;PIRAMIL;C09AA05
0001963;PIRAMIL;C09AA05
0002012;PIRAMIL;C09AA05
0002022;PIRAMIL;C09AA05
0002026;PIRAMIL;C09AA05
0002060;PIRAMIL;C09AA05
0002062;PIRAMIL;C09AA05
0002132;CARDILAN;B05XA30
0002141;STOMARAN;V11
0002146;DICLOFENAC AL RETARD;M01AB05
0002181;AULIN;M01AX17
0002223;PULMORAN;V11
0002289;PROSTIN E2;G02AD02
0002427;ENTIZOL;P01AB01
0002429;TISERCIN;N05AA02
0002430;ENTIZOL;G01AF01
0002479;DITHIADEN;R06AX
0002486;KALIUM CHLORATUM LÉČIVA;B05XA01
0002529;AETHOXYSKLEROL;C05BB02
0002537;HALOPERIDOL-RICHTER;N05AD01
0002538;HALOPERIDOL-RICHTER;N05AD01
0002539;HALOPERIDOL-RICHTER;N05AD01
0002592;MILURIT;M04AA01
0002668;OPHTHALMO-HYDROCORTISON LÉČIVA;S01BA02
0002679;BERODUAL N;R03AL01
0002684;MESOCAIN;N01BB
0002710;ATENOLOL AL;C07AB03
0002715;DOLSIN;N02AB02
0002716;DOLSIN;N02AB02
0002720;ATENOLOL AL;C07AB03
0002828;TRIAMCINOLON LÉČIVA;D07AB09
0002829;TRIAMCINOLON LÉČIVA;D07AB09
0002839;EXTRANEAL;B05DA
0002840;EXTRANEAL;B05DA
0002841;EXTRANEAL;B05DA
0002868;PERITOL;R06AX02
0002871;VIREGYT-K;N04BB01
0002917;MULTIHANCE;V08CA08
0002918;MULTIHANCE;V08CA08
0002919;MULTIHANCE;V08CA08
0002920;MULTIHANCE;V08CA08
0002926;LETIZEN;R06AE07
0002927;LETIZEN;R06AE07
0002944;AGEN;C08CA01
0002945;AGEN;C08CA01
0002949;ATENOLOL AL;C07AB03
0002950;ATENOLOL AL;C07AB03
0002951;ATENOLOL AL;C07AB03
0002953;AGEN;C08CA01
0002954;AGEN;C08CA01
0002963;PREDNISON LÉČIVA;H02AB07
0003033;CORDIPIN XL;C08CA05
0003063;ZOXON;C02CA04
0003128;STOPANGIN;R02AA20
0003280;LAC CANINUM;V12
0003281;LAC CANINUM;V12
0003282;LAC CANINUM;V12
0003283;EUGENIA JAMBOSA;V12
0003284;EUGENIA JAMBOSA;V12
0003285;EUGENIA JAMBOSA;V12
0003290;NUTRIFLEX PERI;B05BA10
0003293;THUYA OCCIDENTALIS;V12
0003294;THUYA OCCIDENTALIS;V12
0003303;NIDRAZID;J04AC01
0003325;MERCURIUS SOLUBILIS;V12
0003334;POLLEN DE GRAMINEES;V12
0003335;POLLEN DE GRAMINEES;V12
0003336;POLLEN DE GRAMINEES;V12
0003414;NUTRIFLEX PERI;B05BA10
0003416;NUTRIFLEX BASAL;B05BA10
0003513;NUTRIFLEX BASAL;B05BA10
0003542;DIGOXIN LÉČIVA;C01AA05
0003550;VEROSPIRON;C03DA01
0003591;NAKOM;N04BA02
0003623;NUTRIFLEX PLUS;B05BA10
0003645;DIMEXOL;N05BX01
0003648;REMESTYP;H01BA04
0003707;ZYVOXID;J01XX08
0003708;ZYVOXID;J01XX08
0003902;ZYVOXID;J01XX08
0003904;ZYVOXID;J01XX08
0003906;ZYVOXID;J01XX08
0003925;AMINOVEN 5%;B05BA01
0003926;AMINOVEN 5%;B05BA01
0003930;AMINOVEN 10%;B05BA01
0003933;AMINOVEN 10%;B05BA01
0003972;AMINOVEN 15%;B05BA01
0003973;AMINOVEN 15%;B05BA01
0003974;AMINOVEN 15%;B05BA01
0003997;CARDILOPIN;C08CA01
0003998;CARDILOPIN;C08CA01
0003999;CARDILOPIN;C08CA01
0004013;DOXYBENE;J01AA02
0004014;DOXYBENE;J01AA02
0004062;CAVINTON;N06BX18
0004063;CAVINTON;N06BX18
0004071;DITHIADEN;R06AX
0004093;MESULID;M01AX17
0004097;MESULID;M01AX17
0004108;MESULID;M01AX17
0004112;MESULID;M01AX17
0004156;GELARGIN;D07AC04
0004160;TRIAMCINOLON S LÉČIVA;D07XB02
0004178;TRIAMCINOLON E LÉČIVA;D07BB03
0004188;SUPRANE;N01AB07
0004207;PROTHIADEN;N06AA16
0004212;DITUSTAT;R05DB19
0004234;DALACIN C;J01FF01
0004304;SULFASALAZIN K-EN;A07EC01
0004307;NITRO POHL;C01DA02
0004336;CILKANOL;C05CA04
0004364;ALVISAN NEO;V11
0004380;TENSAMIN;C01CA04
0005113;TARGOCID;J01XA02
0005441;ZODAC;R06AE07
0005476;ZODAC;R06AE07
0005496;ZODAC;R06AE07
0005499;ZODAC;R06AE07
0005592;POLLEN DE GRAMINEES;V12
0005594;EUGENIA JAMBOSA;V12
0005628;LAC CANINUM;V12
0005782;TRITACE;C09AA05
0005844;ACC;R05CB01
0005845;ACC;R05CB01
0005853;ACC;R05CB01
0005924;NAVELBINE ORAL;L01CA04
0005925;NAVELBINE ORAL;L01CA04
0005928;MESULID;M01AX17
0005929;MESULID;M01AX17
0005931;MESULID;M01AX17
0005932;MESULID;M01AX17
0005935;OXYCONTIN;N02AA05
0005937;OXYCONTIN;N02AA05
0005939;OXYCONTIN;N02AA05
0005941;OXYCONTIN;N02AA05
0005950;AMOKSIKLAV 1 G;J01CR02
0005951;AMOKSIKLAV 1 G;J01CR02
0005954;UROMITEXAN;V03AF01
0006264;SUMETROLIM;J01EE01
0006265;GERATAM;N06BX03
0006408;EQUORAL;L04AD01
0006550;ENAP;C09AA02
0006618;NEUROL;N05BA12
0007387;PROSULPIN;N05AL01
0007430;PROSTAKAN FORTE;G04CX02
0007431;PROSTAKAN FORTE;G04CX02
0007432;PROSTAKAN FORTE;G04CX02
0008506;RILEPTID;N05AX08
0008510;AETHOXYSKLEROL;C05BB02
0008511;AETHOXYSKLEROL;C05BB02
0008565;RILEPTID;N05AX08
0008626;RILEPTID;N05AX08
0008669;RILEPTID;N05AX08
0008670;RILEPTID;N05AX08
0008671;RILEPTID;N05AX08
0008807;DALACIN C;J01FF01
0008808;DALACIN C;J01FF01
0008834;DEPO-MEDROL;H02AB04
0009709;SOLU-MEDROL;H02AB04
0009710;SOLU-MEDROL;H02AB04
0009711;SOLU-MEDROL;H02AB04
0009712;SOLU-MEDROL;H02AB04
0009844;TORECAN;R06AD03
0010032;PIRACETAM AL;N06BX03
0010033;PIRACETAM AL;N06BX03
0010045;AGNUCASTON;V11
0010046;AGNUCASTON;V11
0010047;AGNUCASTON;V11
0010052;AGNUCASTON;V11
0010055;TABACUM;V12
0010063;BROMHEXIN KM;R05CB02
0010073;ECHINACEA ANGUSTIFOLIA;V12
0010087;LOBELIA INFLATA;V12
0010111;DHC CONTINUS;N02AA08
0010122;DHC CONTINUS;N02AA08
0010139;DHC CONTINUS;N02AA08
0010151;LOPERON;A07DA03
0010183;EQUORAL;L04AD01
0010184;EQUORAL;L04AD01
0010185;EQUORAL;L04AD01
0010224;BROMHEXIN KM;R05CB02
0010225;BROMHEXIN KM;R05CB02
0010233;CLOSTILBEGYT;G03GB02
0010252;CAVINTON FORTE;N06BX18
0010253;CAVINTON FORTE;N06BX18
0010261;VARILRIX;J07BK01
0010263;DIMAVAL (DMPS);V03AB
0010268;VESICARE;G04BD08
0010272;VARILRIX;J07BK01
0010273;VARILRIX;J07BK01
0010275;VESICARE;G04BD08
0010277;VARILRIX;J07BK01
0010281;ALUTARD SQ HMYZÍ ALERGENY;V01AA07
0010283;ALUTARD SQ HMYZÍ ALERGENY;V01AA07
0010364;MIRZATEN;N06AX11
0010365;MIRZATEN;N06AX11
0010382;AZITROX;J01FA10
0010407;FTORAFUR;L01BC03
0010430;VITAMIN E ZENTIVA;A11HA03
0010431;VITAMIN E ZENTIVA;A11HA03
0010483;PAROLEX;N06AB05
0010484;PAROLEX;N06AB05
0010485;PAROLEX;N06AB05
0010486;PAROLEX;N06AB05
0010487;PAROLEX;N06AB05
0010502;ENTEROL;A07FA02
0010504;ENTEROL;A07FA02
0010527;RISPEN;N05AX08
0010528;RISPEN;N05AX08
0010555;AQUA PRO INJECTIONE BRAUN;V07AB
0010559;AQUA PRO INJECTIONE BRAUN;V07AB
0010560;AQUA PRO INJECTIONE BRAUN;V07AB
0010561;AQUA PRO INJECTIONE BRAUN;V07AB
0010602;TANTUM VERDE SPRAY;A01AD02
0010603;TANTUM VERDE SPRAY FORTE;A01AD02
0010604;LORISTA;C09CA01
0010680;CORYOL;C07AG02
0010682;CORYOL;C07AG02
0010715;ZYVOXID;J01XX08
0010734;PROSTIN;G02AD04
0010754;DEPO-PROVERA;L02AB02
0010823;PALLADONE SR;N02AA03
0010824;PALLADONE SR;N02AA03
0010825;PALLADONE SR;N02AA03
0010833;PALLADONE SR;N02AA03
0010834;PALLADONE SR;N02AA03
0010835;PALLADONE SR;N02AA03
0010841;PALLADONE SR;N02AA03
0010842;PALLADONE SR;N02AA03
0010843;PALLADONE SR;N02AA03
0010844;PALLADONE SR;N02AA03
0010847;PALLADONE SR;N02AA03
0010848;PALLADONE SR;N02AA03
0010855;ROXITHROMYCIN RATIOPHARM;J01FA06
0010856;ROXITHROMYCIN RATIOPHARM;J01FA06
0010857;ROXITHROMYCIN RATIOPHARM;J01FA06
0010858;ROXITHROMYCIN RATIOPHARM;J01FA06
0010859;ROXITHROMYCIN RATIOPHARM;J01FA06
0010860;ROXITHROMYCIN RATIOPHARM;J01FA06
0010873;ROXITHROMYCIN RATIOPHARM;J01FA06
0010874;ROXITHROMYCIN RATIOPHARM;J01FA06
0010875;ROXITHROMYCIN RATIOPHARM;J01FA06
0010996;NUTRIFLEX PLUS;B05BA10
0011006;DIROTON;C09AA03
0011012;ARDEAELYTOSOL F 1/1;B05BB01
0011021;ARDEAELYTOSOL H 1/1;B05BB01
0011022;OXYCONTIN;N02AA05
0011025;NUTRIFLEX SPECIAL;B05BA10
0011032;OXYCONTIN;N02AA05
0011035;OXYCONTIN;N02AA05
0011040;OXYCONTIN;N02AA05
0011042;OXYCONTIN;N02AA05
0011045;OXYCONTIN;N02AA05
0011046;OXYCONTIN;N02AA05
0011054;OXYCONTIN;N02AA05
0011062;OXYCONTIN;N02AA05
0011070;OXYCONTIN;N02AA05
0011072;OXYCONTIN;N02AA05
0011073;NUTRIFLEX SPECIAL;B05BA10
0011076;OXYCONTIN;N02AA05
0011080;OXYCONTIN;N02AA05
0011083;OXYCONTIN;N02AA05
0011084;OXYCONTIN;N02AA05
0011085;OXYCONTIN;N02AA05
0011089;MEDOCRIPTINE;G02CB01
0011090;MEDOCRIPTINE;G02CB01
0011091;MEDOCRIPTINE;G02CB01
0011092;OXYCONTIN;N02AA05
0011094;OXYCONTIN;N02AA05
0011097;OXYCONTIN;N02AA05
0011105;OXYCONTIN;N02AA05
0011106;OXYCONTIN;N02AA05
0011108;OXYCONTIN;N02AA05
0011109;OXYCONTIN;N02AA05
0011110;OXYCONTIN;N02AA05
0011114;METFORMIN TEVA;A10BA02
0011120;METFORMIN TEVA;A10BA02
0011121;METFORMIN TEVA;A10BA02
0011122;METFORMIN TEVA;A10BA02
0011123;METFORMIN TEVA;A10BA02
0011124;METFORMIN TEVA;A10BA02
0011125;METFORMIN TEVA;A10BA02
0011126;METFORMIN TEVA;A10BA02
0011127;METFORMIN TEVA;A10BA02
0011128;METFORMIN TEVA;A10BA02
0011129;METFORMIN TEVA;A10BA02
0011149;PROSULPIN;N05AL01
0011240;GERATAM;N06BX03
0011242;GERATAM;N06BX03
0011243;GERATAM;N06BX03
0011265;LIOTON;C05BA03
0011286;PERITOL;R06AX02
0011389;ETOPOSIDE TEVA;L01CB01
0011390;ETOPOSIDE TEVA;L01CB01
0011398;DIPEPTIVEN;B05XB02
0011399;DIPEPTIVEN;B05XB02
0011420;VINCRISTINE TEVA;L01CA02
0011421;VINCRISTINE TEVA;L01CA02
0011422;VINCRISTINE TEVA;L01CA02
0011468;PROSULPIN;N05AL01
0011481;NUTRINEAL PD4 WITH AMINOACIDS 1,1%;B05DB
0011482;NUTRINEAL PD4 WITH AMINOACIDS 1,1%;B05DB
0011483;NUTRINEAL PD4 WITH AMINOACIDS 1,1%;B05DB
0011484;NUTRINEAL PD4 WITH AMINOACIDS 1,1%;B05DB
0011485;MILGAMMA N;A11DB
0011486;MILGAMMA N;A11DB
0011487;MILGAMMA N;A11DB
0011488;MILGAMMA N;A11DB
0011592;METRONIDAZOL B. BRAUN;J01XD01
0011670;PLASMALYTE;B05BB01
0011671;PLASMALYTE;B05BB01
0011676;BROMHEXIN BERLIN-CHEMIE;R05CB02
0011679;PLASMALYTE S GLUKÓZOU;B05BB02
0011693;PLASMALYTE S GLUKÓZOU;B05BB02
0011696;PLASMALYTE S GLUKÓZOU;B05BB02
0011706;BISEPTOL;J01EE01
0011955;DUROGESIC;N02AB03
0011976;HYDROGENUHLIČITAN SODNÝ B. BRAUN 8,4%;B05XA02
0011992;GLIMEPIRID SANDOZ;A10BB12
0011993;GLIMEPIRID SANDOZ;A10BB12
0011994;GLIMEPIRID SANDOZ;A10BB12
0011995;GLIMEPIRID SANDOZ;A10BB12
0011997;GLIMEPIRID SANDOZ;A10BB12
0011998;GLIMEPIRID SANDOZ;A10BB12
0011999;GLIMEPIRID SANDOZ;A10BB12
0012000;GLIMEPIRID SANDOZ;A10BB12
0012001;GLIMEPIRID SANDOZ;A10BB12
0012003;GLIMEPIRID SANDOZ;A10BB12
0012004;GLIMEPIRID SANDOZ;A10BB12
0012005;GLIMEPIRID SANDOZ;A10BB12
0012026;GLIMEPIRID SANDOZ;A10BB12
0012036;GLIMEPIRID SANDOZ;A10BB12
0012037;GLIMEPIRID SANDOZ;A10BB12
0012039;GLIMEPIRID SANDOZ;A10BB12
0012040;GLIMEPIRID SANDOZ;A10BB12
0012043;GLIMEPIRID SANDOZ;A10BB12
0012044;GLIMEPIRID SANDOZ;A10BB12
0012045;GLIMEPIRID SANDOZ;A10BB12
0012046;GLIMEPIRID SANDOZ;A10BB12
0012047;GLIMEPIRID SANDOZ;A10BB12
0012048;GLIMEPIRID SANDOZ;A10BB12
0012049;GLIMEPIRID SANDOZ;A10BB12
0012050;GLIMEPIRID SANDOZ;A10BB12
0012069;GLIMEPIRID SANDOZ;A10BB12
0012082;GLIMEPIRID SANDOZ;A10BB12
0012083;GLIMEPIRID SANDOZ;A10BB12
0012084;GLIMEPIRID SANDOZ;A10BB12
0012085;GLIMEPIRID SANDOZ;A10BB12
0012092;GLIMEPIRID SANDOZ;A10BB12
0012093;GLIMEPIRID SANDOZ;A10BB12
0012094;GLIMEPIRID SANDOZ;A10BB12
0012096;GLIMEPIRID SANDOZ;A10BB12
0012097;GLIMEPIRID SANDOZ;A10BB12
0012098;GLIMEPIRID SANDOZ;A10BB12
0012099;GLIMEPIRID SANDOZ;A10BB12
0012101;GLIMEPIRID SANDOZ;A10BB12
0012121;GLIMEPIRID SANDOZ;A10BB12
0012131;GLIMEPIRID SANDOZ;A10BB12
0012132;GLIMEPIRID SANDOZ;A10BB12
0012133;GLIMEPIRID SANDOZ;A10BB12
0012134;GLIMEPIRID SANDOZ;A10BB12
0012136;GLIMEPIRID SANDOZ;A10BB12
0012137;GLIMEPIRID SANDOZ;A10BB12
0012140;GLIMEPIRID SANDOZ;A10BB12
0012141;GLIMEPIRID SANDOZ;A10BB12
0012142;GLIMEPIRID SANDOZ;A10BB12
0012143;GLIMEPIRID SANDOZ;A10BB12
0012144;GLIMEPIRID SANDOZ;A10BB12
0012145;GLIMEPIRID SANDOZ;A10BB12
0012181;GLIMEPIRID SANDOZ;A10BB12
0012423;PHARMATEX;G02BB
0012455;PHARMATEX;G02BB
0012471;TRAMABENE;N02AX02
0012472;TRAMABENE;N02AX02
0012473;TRAMABENE;N02AX02
0012495;BROMHEXIN BERLIN-CHEMIE;R05CB02
0012496;BROMHEXIN BERLIN-CHEMIE;R05CB02
0012665;5-FLUOROURACIL EBEWE;L01BC02
0012666;5-FLUOROURACIL EBEWE;L01BC02
0012667;5-FLUOROURACIL EBEWE;L01BC02
0012668;ETOPOSID EBEWE;L01CB01
0012669;ETOPOSID EBEWE;L01CB01
0012670;ETOPOSID EBEWE;L01CB01
0012671;ETOPOSID EBEWE;L01CB01
0012737;DOXYHEXAL;J01AA02
0012738;DOXYHEXAL;J01AA02
0012891;AULIN;M01AX17
0012892;AULIN;M01AX17
0012894;AULIN;M01AX17
0012895;AULIN;M01AX17
0013014;ENGYSTOL;V12
0013015;ENGYSTOL;V12
0013039;SERDOLECT;N05AE03
0013052;SERDOLECT;N05AE03
0013059;SERDOLECT;N05AE03
0013066;SERDOLECT;N05AE03
0013190;GINGIO;N06DX02
0013191;GINGIO;N06DX02
0013192;GINGIO;N06DX02
0013193;GINGIO;N06DX02
0013194;GINGIO;N06DX02
0013195;GINGIO;N06DX02
0013280;RECOXA;M01AC06
0013281;RECOXA;M01AC06
0013301;MACRO-ALBUMON;V09EB01
0013302;MACRO-ALBUMON;V09EB01
0013303;MACRO-ALBUMON;V09EB01
0013304;NANO-ALBUMON;V09DB01
0013305;NANO-ALBUMON;V09DB01
0013306;NANO-ALBUMON;V09DB01
0013307;LEUCO-SCINT;V09HA02
0013308;BRAIN-SPECT KIT;V09AA01
0013309;BRAIN-SPECT KIT;V09AA01
0013310;BRAIN-SPECT KIT;V09AA01
0013311;BRAIN-SPECT KIT;V09AA01
0013312;SENTI-SCINT KIT;V09DB01
0013313;SENTI-SCINT KIT;V09DB01
0013314;SENTI-SCINT KIT;V09DB01
0013315;SENTI-SCINT KIT;V09DB01
0013316;LUSOPRESS;C08CA08
0013364;CARDIO-SPECT;V09GA01
0013365;CARDIO-SPECT;V09GA01
0013366;CARDIO-SPECT;V09GA01
0013367;CARDIO-SPECT;V09GA01
0013368;XYZAL;R06AE09
0013369;XYZAL;R06AE09
0013370;XYZAL;R06AE09
0013379;SEPTOFORT;R02AA05
0013380;SEPTOFORT;R02AA05
0013386;RADIOGARDASE-CS;V03AB31
0013388;ESPUMISAN;A03AX13
0013389;ESPUMISAN;A03AX13
0013440;RINGERŮV ROZTOK VIAFLO;B05BB01
0013441;RINGERŮV ROZTOK VIAFLO;B05BB01
0013444;HARTMANNŮV ROZTOK VIAFLO;B05BB01
0013447;HARTMANNŮV ROZTOK VIAFLO;B05BB01
0013452;HARTMANNŮV ROZTOK VIAFLO;B05BB01
0013474;RAMIL;C09AA05
0013475;RAMIL;C09AA05
0013476;RAMIL;C09AA05
0013477;RAMIL;C09AA05
0013478;RAMIL;C09AA05
0013490;TEBOKAN;N06DX02
0013491;TEBOKAN;N06DX02
0013492;TEBOKAN;N06DX02
0013493;TEBOKAN;N06DX02
0013506;INDIVINA;G03FA12
0013507;INDIVINA;G03FA12
0013508;INDIVINA;G03FA12
0013509;INDIVINA;G03FA12
0013510;INDIVINA;G03FA12
0013511;INDIVINA;G03FA12
0013621;PARAMAX RAPID;N02BE01
0013622;PARAMAX RAPID;N02BE01
0013623;PARAMAX RAPID;N02BE01
0013767;CORDARONE;C01BD01
0013768;CORDARONE;C01BD01
0013796;ULTOP;A02BC01
0013798;CANESTEN;D01AC01
0013804;SOMATULINE AUTOGEL;H01CB03
0013807;SUPRANE;N01AB07
0013808;URSOSAN;A05AA02
0013814;MILGAMMA N;A11DB
0013816;MILGAMMA N;A11DB
0013818;MILGAMMA N;A11DB
0013819;MILGAMMA N;A11DB
0013821;MILGAMMA N;A11DB
0013823;MILGAMMA N;A11DB
0013828;SIMVASTATIN RATIOPHARM;C10AA01
0013829;SIMVASTATIN RATIOPHARM;C10AA01
0013831;SIMVASTATIN RATIOPHARM;C10AA01
0013832;SIMVASTATIN RATIOPHARM;C10AA01
0013834;SIMVASTATIN RATIOPHARM;C10AA01
0013835;SIMVASTATIN RATIOPHARM;C10AA01
0013836;SIMVASTATIN RATIOPHARM;C10AA01
0013837;SIMVASTATIN RATIOPHARM;C10AA01
0013838;SIMVASTATIN RATIOPHARM;C10AA01
0013839;SIMVASTATIN RATIOPHARM;C10AA01
0013840;SIMVASTATIN RATIOPHARM;C10AA01
0013841;SIMVASTATIN RATIOPHARM;C10AA01
0013842;SIMVASTATIN RATIOPHARM;C10AA01
0013844;SIMVASTATIN RATIOPHARM;C10AA01
0013845;SIMVASTATIN RATIOPHARM;C10AA01
0013846;SIMVASTATIN RATIOPHARM;C10AA01
0013847;SIMVASTATIN RATIOPHARM;C10AA01
0013853;PAROLEX;N06AB05
0013854;PAROLEX;N06AB05
0013860;PAROLEX;N06AB05
0013872;ALEXAN;L01BC01
0013873;ALEXAN;L01BC01
0013886;LOZAP;C09CA01
0013887;LOZAP;C09CA01
0013888;LOZAP;C09CA01
0013892;LOZAP;C09CA01
0013893;LOZAP;C09CA01
0013894;LOZAP;C09CA01
0013895;LOZAP;C09CA01
0013896;LOZAP;C09CA01
0013897;LOZAP;C09CA01
0014064;CERNEVIT;B05XC
0014065;CERNEVIT;B05XC
0014075;DETRALEX;C05CA53
0014321;HAVRIX;J07BC02
0014322;HAVRIX;J07BC02
0014380;LEGALON SIL;A05BA03
0014383;TOXOGONIN;V03AB13
0014400;CAPSICUM ANNUUM;V12
0014439;FOKUSIN;G04CA02
0014473;FLUIMUCIL 600;R05CB01
0014474;FLUIMUCIL 600;R05CB01
0014498;OMNIC TOCAS;G04CA02
0014499;OMNIC TOCAS;G04CA02
0014500;OMNIC TOCAS;G04CA02
0014508;FOLLICULINUM;V12
0014516;KALIUM MURIATICUM;V12
0014531;KALIUM PHOSPHORICUM;V12
0014539;PYROGENIUM;V12
0014547;ARSENICUM IODATUM;V12
0014554;HYPERICUM PERFORATUM;V12
0014579;TIMOLOL UNIMED PHARMA;S01ED01
0014627;DIVINA;G03FB06
0014628;DIVINA;G03FB06
0014709;RIVODARON;C01BD01
0014710;RIVODARON;C01BD01
0014711;TARDYFERON;B03AA07
0014712;TARDYFERON;B03AA07
0014723;DITUSTAT;R05DB19
0014724;DITUSTAT;R05DB19
0014725;TUSSIN;R05DB13
0014726;LAXYGAL;A06AB08
0014772;LHRH FERRING;V04CM01
0014808;COAXIL;N06AX14
0014817;CONDROSULF;M01AX25
0014823;CONDROSULF;M01AX25
0014824;CONDROSULF;M01AX25
0014827;FLECTOR EP RAPID;M01AB05
0014828;FLECTOR EP RAPID;M01AB05
0014855;BALANCE 4,25% GLUCOSE, 1,75 MMOL/L CALCIUM;B05DB
0014856;BALANCE 4,25% GLUCOSE, 1,75 MMOL/L CALCIUM;B05DB
0014857;BALANCE 4,25% GLUCOSE, 1,75 MMOL/L CALCIUM;B05DB
0014858;BALANCE 4,25% GLUCOSE, 1,75 MMOL/L CALCIUM;B05DB
0014860;BALANCE 2,3% GLUCOSE, 1,75MMOL/L CALCIUM;B05DB
