"rok,""pohlavi"",""vek_kod"",""kraj_bydliste"",""okres_bydliste"",""prevalence_hypertenze"""
"2011,1,66005009,""CZ042"",""CZ0425"",2"
"2011,1,66005009,""CZ042"",""CZ0426"",0"
"2011,1,66005009,""CZ042"",""CZ0427"",6"
"2011,1,66005009,""CZ051"",""CZ0511"",1"
"2011,1,66005009,""CZ051"",""CZ0512"",0"
"2011,1,66005009,""CZ051"",""CZ0513"",0"
"2011,1,66005009,""CZ051"",""CZ0514"",0"
"2011,1,66005009,""CZ052"",""CZ0521"",2"
"2011,1,66005009,""CZ052"",""CZ0522"",0"
"2011,1,66005009,""CZ052"",""CZ0523"",1"
"2011,1,66005009,""CZ052"",""CZ0524"",1"
"2011,1,66005009,""CZ052"",""CZ0525"",0"
"2011,1,66005009,""CZ053"",""CZ0531"",0"
"2011,1,66005009,""CZ053"",""CZ0532"",1"
"2011,1,66005009,""CZ053"",""CZ0533"",1"
"2011,1,66005009,""CZ053"",""CZ0534"",5"
"2011,1,66005009,""CZ063"",""CZ0631"",0"
"2011,1,66005009,""CZ063"",""CZ0632"",1"
"2011,1,66005009,""CZ063"",""CZ0633"",0"
"2011,1,66005009,""CZ063"",""CZ0634"",1"
"2011,1,66005009,""CZ063"",""CZ0635"",1"
"2011,1,66005009,""CZ064"",""CZ0641"",1"
"2011,1,66005009,""CZ064"",""CZ0642"",0"
"2011,1,66005009,""CZ064"",""CZ0643"",0"
"2011,1,66005009,""CZ064"",""CZ0644"",2"
"2011,1,66005009,""CZ064"",""CZ0645"",1"
"2011,1,66005009,""CZ064"",""CZ0646"",1"
"2011,1,66005009,""CZ064"",""CZ0647"",0"
"2011,1,66005009,""CZ071"",""CZ0711"",0"
"2011,1,66005009,""CZ071"",""CZ0712"",5"
"2011,1,66005009,""CZ071"",""CZ0713"",3"
"2011,1,66005009,""CZ071"",""CZ0714"",0"
"2011,1,66005009,""CZ071"",""CZ0715"",1"
"2011,1,66005009,""CZ072"",""CZ0721"",2"
"2011,1,66005009,""CZ072"",""CZ0722"",0"
"2011,1,66005009,""CZ072"",""CZ0723"",4"
"2011,1,66005009,""CZ072"",""CZ0724"",3"
"2011,1,66005009,""CZ080"",""CZ0801"",4"
"2011,1,66005009,""CZ080"",""CZ0802"",5"
"2011,1,66005009,""CZ080"",""CZ0803"",6"
"2011,1,66005009,""CZ080"",""CZ0804"",2"
"2011,1,66005009,""CZ080"",""CZ0805"",2"
"2011,1,66005009,""CZ080"",""CZ0806"",10"
"2011,1,66005009,""CZ099"",""CZ0999"",1"
"2011,1,66010014,""CZ010"",""CZ0100"",9"
"2011,1,66010014,""CZ020"",""CZ0201"",5"
"2011,1,66010014,""CZ020"",""CZ0202"",1"
"2011,1,66010014,""CZ020"",""CZ0203"",3"
"2011,1,66010014,""CZ020"",""CZ0204"",2"
"2011,1,66010014,""CZ020"",""CZ0205"",1"
"2011,1,66010014,""CZ020"",""CZ0206"",0"
"2011,1,66010014,""CZ020"",""CZ0207"",2"
"2011,1,66010014,""CZ020"",""CZ0208"",0"
"2011,1,66010014,""CZ020"",""CZ0209"",4"
"2011,1,66010014,""CZ020"",""CZ020A"",0"
"2011,1,66010014,""CZ020"",""CZ020B"",13"
"2011,1,66010014,""CZ020"",""CZ020C"",1"
"2011,1,66010014,""CZ031"",""CZ0311"",2"
"2011,1,66010014,""CZ031"",""CZ0312"",0"
"2011,1,66010014,""CZ031"",""CZ0313"",1"
"2011,1,66010014,""CZ031"",""CZ0314"",0"
"2011,1,66010014,""CZ031"",""CZ0315"",1"
"2011,1,66010014,""CZ031"",""CZ0316"",1"
"2011,1,66010014,""CZ031"",""CZ0317"",2"
"2011,1,66010014,""CZ032"",""CZ0321"",0"
"2011,1,66010014,""CZ032"",""CZ0322"",4"
"2011,1,66010014,""CZ032"",""CZ0323"",0"
"2011,1,66010014,""CZ032"",""CZ0324"",1"
"2011,1,66010014,""CZ032"",""CZ0325"",1"
"2011,1,66010014,""CZ032"",""CZ0326"",1"
"2011,1,66010014,""CZ032"",""CZ0327"",1"
"2011,1,66010014,""CZ041"",""CZ0411"",1"
"2011,1,66010014,""CZ041"",""CZ0412"",0"
"2011,1,66010014,""CZ041"",""CZ0413"",0"
"2011,1,66010014,""CZ042"",""CZ0421"",23"
"2011,1,66010014,""CZ042"",""CZ0422"",3"
"2011,1,66010014,""CZ042"",""CZ0423"",7"
"2011,1,66010014,""CZ042"",""CZ0424"",5"
"2011,1,66010014,""CZ042"",""CZ0425"",5"
"2011,1,66010014,""CZ042"",""CZ0426"",12"
"2011,1,66010014,""CZ042"",""CZ0427"",26"
"2011,1,66010014,""CZ051"",""CZ0511"",4"
